Player	Caps	Goals	Club
Aaron Ramsey	63	16	Juventus
Abdülkadir Ömür	9	0	Trabzonspor
Ádám Bogdán	20	0	Ferencváros
Adam Davies	2	0	Stoke City
Adam Hložek	2	0	Sparta Prague
Ádám Lang	39	1	Omonia
Ádám Nagy	47	1	Bristol City
Ádám Szalai	70	23	Mainz 05
Adama Traoré	5	0	Wolverhampton Wanderers
Admir Mehmedi	74	10	VfL Wolfsburg
Adrien Rabiot	15	0	Juventus
Ákos Kecskés	1	0	Lugano
Albin Ekdal	57	0	Sampdoria
Aleksandar Dragović	90	2	Bayer Leverkusen
Aleksandar Trajkovski	65	18	Mallorca
Aleksandr Golovin	38	5	Monaco
Aleksandr Sobolev	6	3	Spartak Moscow
Aleksei Ionov	35	4	Krasnodar
Aleksei Miranchuk	33	5	Atalanta
Aleš Mandous	1	0	Sigma Olomouc
Aleš Matějů	4	0	Brescia
Alessandro Bastoni	5	0	Internazionale
Alessandro Florenzi	43	2	Paris Saint-Germain
Alessandro Schöpf	26	5	Schalke 04
Alex Král	17	2	Spartak Moscow
Alex Meret	2	0	Napoli
Alexander Isak	22	6	Real Sociedad
Alexander Schlager	6	0	LASK
Altay Bayındır	1	0	Fenerbahçe
Álvaro Morata	40	19	Juventus
Anatoliy Trubin	2	0	Shakhtar Donetsk
Anders Christiansen	4	0	Malmö FF
András Schäfer	5	1	Dunajská Streda
André Silva	38	16	Eintracht Frankfurt
Andrea Belotti	33	12	Torino
Andreas Christensen	40	1	Chelsea
Andreas Cornelius	27	5	Parma
Andreas Granqvist	88	9	Helsingborgs IF
Andreas Skov Olsen	6	3	Bologna
Andreas Ulmer	23	0	Red Bull Salzburg
Andrei Mostovoy	8	0	Zenit Saint Petersburg
Andrei Semyonov	26	0	Akhmat Grozny
Andrej Kramarić	53	14	1899 Hoffenheim
Andrew Robertson	44	3	Liverpool
Andriy Pyatov	96	0	Shakhtar Donetsk
Andriy Yarmolenko	93	38	West Ham United
Anssi Jaakkola	3	0	Bristol Rovers
Ante Budimir	7	1	Osasuna
Ante Rebić	37	3	Milan
Anthony Lopes	13	0	Lyon
Antoine Griezmann	90	36	Barcelona
Anton Shunin	12	0	Dynamo Moscow
Anton Zabolotny	13	1	Sochi
Antonín Barák	19	6	Hellas Verona
Antonio Rüdiger	40	1	Chelsea
Arijan Ademi	21	4	Dinamo Zagreb
Arkadiusz Milik	59	15	Marseille
Artem Besyedin	15	2	Dynamo Kyiv
Artem Dovbyk	2	0	Dnipro-1
Artem Dzyuba	52	29	Zenit Saint Petersburg
Attila Fiola	34	1	Fehérvár
Attila Szalai	12	0	Fenerbahçe
Axel Witsel	110	10	Borussia Dortmund
Aymeric Laporte	1	0	Manchester City
Bartosz Bereszyński	32	0	Sampdoria
Bećir Omeragić	4	0	Zürich
Ben Cabango	3	0	Swansea City
Ben Chilwell	14	0	Chelsea
Ben Davies	60	0	Tottenham Hotspur
Bendegúz Bolla	1	0	Fehérvár
Benjamin Pavard	34	2	Bayern Munich
Bernardo Silva	54	7	Manchester City
Bernd Leno	8	0	Arsenal
Billy Gilmour	1	0	Chelsea
Boban Nikolov	34	2	Lecce
Borna Barišić	19	1	Rangers
Breel Embolo	43	5	Borussia Mönchengladbach
Bruno Fernandes	28	2	Manchester United
Bruno Petković	14	6	Dinamo Zagreb
Bryan Cristante	11	1	Roma
Bukayo Saka	5	1	Arsenal
Burak Yılmaz	67	29	Lille
Çağlar Söyüncü	35	2	Leicester City
Callum McGregor	30	0	Celtic
Cengiz Ünder	29	9	Leicester City
César Azpilicueta	25	0	Chelsea
Ché Adams	3	1	Southampton
Chris Gunter	101	0	Charlton Athletic
Chris Mepham	18	0	Bournemouth
Christian Benteke	39	16	Crystal Palace
Christian Eriksen	107	36	Internazionale
Christian Fassnacht	8	3	Young Boys
Christian Günter	2	0	SC Freiburg
Christian Nørgaard	4	0	Brentford
Christoph Baumgartner	9	3	1899 Hoffenheim
Christopher Trimmel	12	0	Union Berlin
Ciro Immobile	46	13	Lazio
Clément Lenglet	12	1	Barcelona
Cody Gakpo	0	0	PSV Eindhoven
Connor Roberts	26	1	Swansea City
Conor Coady	5	1	Wolverhampton Wanderers
Corentin Tolisso	24	2	Bayern Munich
Craig Gordon	57	0	Heart of Midlothian
Cristiano Ronaldo	174	103	Juventus
Daler Kuzyayev	34	2	Zenit Saint Petersburg
Daley Blind	77	2	Ajax
Damjan Shishkovski	6	0	Doxa Katokopias
Dani Olmo	11	3	RB Leipzig
Daniel Avramovski	6	0	Kayserispor
Daniel Bachmann	1	0	Watford
Dániel Gazdag	6	1	Philadelphia Union
Daniel James	20	4	Manchester United
Daniel O'Shaughnessy	11	0	HJK
Daniel Wass	29	0	Valencia
Daniil Fomin	4	0	Dynamo Moscow
Danilo Pereira	46	2	Paris Saint-Germain
Danny Ward	13	0	Leicester City
Darko Churlinov	3	1	VfB Stuttgart
Darko Velkovski	27	1	Rijeka
David Alaba	80	14	Bayern Munich
David Brooks	18	2	Bournemouth
David de Gea	45	0	Manchester United
Dávid Hancko	14	1	Sparta Prague
David Marshall	43	0	Derby County
Dávid Sigér	13	1	Ferencváros
David Turnbull	1	0	Celtic
David Zima	2	0	Slavia Prague
Davy Klaassen	23	5	Ajax
Dawid Kownacki	7	1	Fortuna Düsseldorf
Dean Henderson	1	0	Manchester United
Declan Gallagher	8	0	Motherwell
Declan Rice	16	1	West Ham United
Dedryck Boyata	23	0	Hertha BSC
Dejan Kulusevski	13	1	Juventus
Dejan Lovren	64	4	Zenit Saint Petersburg
Dénes Dibusz	15	0	Ferencváros
Denis Cheryshev	30	12	Valencia
Denis Makarov	0	0	Rubin Kazan
Denis Vavro	10	0	Huesca
Denis Zakaria	32	3	Borussia Mönchengladbach
Dennis Praet	11	1	Leicester City
Denys Popov	1	0	Dynamo Kyiv
Denzel Dumfries	18	0	PSV Eindhoven
Diego Llorente	8	0	Leeds United
Diogo Jota	13	6	Liverpool
Djibril Sow	16	0	Eintracht Frankfurt
Dmitri Barinov	5	0	Lokomotiv Moscow
Domagoj Bradarić	4	0	Lille
Domagoj Vida	87	4	Beşiktaş
Domenico Berardi	11	5	Sassuolo
Dominic Calvert-Lewin	8	4	Everton
Dominik Livaković	20	0	Dinamo Zagreb
Donny van de Beek	19	3	Manchester United
Donyell Malen	8	2	PSV Eindhoven
Dorukhan Toköz	9	1	Beşiktaş
Dries Mertens	97	21	Napoli
Duje Ćaleta-Car	13	0	Marseille
Dušan Kuciak	14	0	Lechia Gdańsk
Dylan Levitt	8	0	Istra 1961
Eden Hazard	106	32	Real Madrid
Edimilson Fernandes	22	2	Mainz 05
Eduard Sobol	19	0	Club Brugge
Egzon Bejtulai	21	0	Shkëndija
Elif Elmas	27	7	Napoli
Emerson	15	0	Chelsea
Emil Forsberg	58	9	RB Leipzig
Emil Krafth	28	0	Newcastle United
Emre Can	33	1	Borussia Dortmund
Endre Botka	10	0	Ferencváros
Enes Ünal	22	2	Getafe
Enis Bardhi	34	6	Levante
Eray Cömert	6	0	Basel
Eric García	8	0	Manchester City
Ethan Ampadu	23	0	Sheffield United
Ezgjan Alioski	44	8	Leeds United
Fabián Ruiz	12	1	Napoli
Fabian Schär	60	8	Newcastle United
Federico Bernardeschi	30	6	Juventus
Federico Chiesa	25	1	Juventus
Ferhan Hasani	41	2	Partizani
Ferran Torres	11	6	Manchester City
Filip Helander	15	0	Rangers
Filip Holender	15	1	Partizan
Florian Grillitsch	22	1	1899 Hoffenheim
Florian Neuhaus	6	2	Borussia Mönchengladbach
Francesco Acerbi	14	1	Lazio
Frederik Rønnow	8	0	Schalke 04
Fredrik Jensen	18	7	FC Augsburg
Frenkie de Jong	26	1	Barcelona
Fyodor Kudryashov	44	1	Antalyaspor
Gareth Bale	92	33	Tottenham Hotspur
Georgi Dzhikiya	33	1	Spartak Moscow
